name,city,brewery_type,url,address,postal_code,state_province,phone,website_url,social_media,country
101 Brewhouse + Distillery,Gibsons,"['Brewpub', 'Cider', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/101-brewhouse-distillery/,1009 Gibsons Way,V0N 1V7,BC,7784622011,https://the101.ca/,"['https://twitter.com/The101Gibsons', 'https://www.facebook.com/pg/The101Gibsons', 'https://www.instagram.com/the101gibsons/', 'https://untappd.com/w/101-brewhouse-distillery/357883']",Canada
3 Dogs Brewing,White Rock,"['Board Games', 'Growler Fills', 'Live Music', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/3-dogs-brewing/,107 - 15181 Thrift Avenue,V4B 0C1,BC,6043851364,http://www.3dogsbrewing.com,"['https://twitter.com/3Dogs_Brewing', 'https://www.facebook.com/3dogsbrewingofficial/', 'https://www.instagram.com/3dogsbrewing/', 'https://untappd.com/3_Dogs_Brewing']",Canada
33 Acres Brewing Company,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Merchandise', 'Patio']",https://bcaletrail.ca/breweries/33-acres-brewing-co/,15 W 8th Ave,V5Y 1M8,BC,6046204589,https://33acresbrewing.com/,"['https://www.facebook.com/33acresbrewing/', 'https://www.instagram.com/33acresbrewing/', 'https://untappd.com/w/33-acres-brewing-co/71017']",Canada
33 Brewing Experiment,Vancouver,"['Cider', 'Food Truck(s)', 'Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/33-brewing-experiment/,25 W 8th Ave,V5Y 1M8,BC,6046204589,https://33brewingexp.com/,"['https://www.facebook.com/33brewingexp/', 'https://www.instagram.com/33brewingexp/', 'https://untappd.com/w/33-brewing-experiment/405524']",Canada
4 Mile Brewing,Victoria,"['Brewpub', 'Growler Fills', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/4-mile-brewing-co/,199 Island Hwy,V9B 1G2,BC,2504792514,http://4milebrewingco.com,"['https://www.facebook.com/4milebrewingco/', 'https://untappd.com/4MileBrewing']",Canada
A-FRAME Brewing,Squamish,"['Cider', 'Cocktails', 'Craft Sodas', 'Food Truck(s)', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/a-frame-brewing-co/,1 - 38927 Queens Way,N/A,BC,6048920777,http://aframebrewing.com,"['https://twitter.com/aframebrewing', 'https://www.facebook.com/aframebrewing', 'https://www.instagram.com/aframebrewing', 'https://untappd.com/AFrameBrewingCompany']",Canada
Abandoned Rail Brewing Co,Penticton,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Spirits', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/abandoned-rail-brewing/,1220 Davenport Ave,V2A 8V1,BC,7784767704,https://www.arbrewco.com/,"['https://www.facebook.com/profile.php?id=61557457193019', 'https://www.instagram.com/abandonedrailbrewco/', 'https://untappd.com/AbandonedRailBrewing']",Canada
Ace Brewing,Courtenay,"['Growler Fills', 'Live Music', 'Snacks']",https://bcaletrail.ca/breweries/ace-brewing/,150 Mansfield Drive,V9N 6C5,BC,2503381182,https://acebrewing.ca/,"['https://twitter.com/AceBrewery', 'https://www.facebook.com/pg/acebrewingcompany', 'https://www.instagram.com/acebrewingcompany/', 'https://untappd.com/AceBrewingCompany']",Canada
Alberni Brewing Co.,Port Alberni,"['Brewpub', 'Cider', 'Growler Fills', 'Merchandise', 'Patio', 'Wine']",https://bcaletrail.ca/breweries/alberni-brewing-co/,4630 Adelaide Street,V9Y 6N4,BC,7787448010,https://albernibrewingcompany.ca/,"['https://www.facebook.com/AlberniBrewingCompany', 'https://www.instagram.com/albernibrewing/', 'https://untappd.com/AlberniBrewing']",Canada
Angry Hen Brewing,Kaslo,"['Growler Fills', 'Merchandise', 'Patio', 'Snacks']",https://bcaletrail.ca/breweries/angry-hen-brewing/,343 Front Street,V0G 1M0,BC,2503537446,http://angryhenbrewing.com,"['https://www.facebook.com/angryhenbrewing/', 'https://www.instagram.com/angryhenbrewing/', 'https://untappd.com/AngryHenBrewing']",Canada
